date;day;month;quarter;year;week_of_year;day_of_week;is_weekend
2018-05-25;25;5;2;2018;21;5;False
2018-05-26;26;5;2;2018;21;6;True
2018-05-27;27;5;2;2018;21;7;True
2018-05-28;28;5;2;2018;22;1;False
2018-05-29;29;5;2;2018;22;2;False
2018-05-30;30;5;2;2018;22;3;False
2018-05-31;31;5;2;2018;22;4;False
2018-06-01;1;6;2;2018;22;5;False
2018-06-02;2;6;2;2018;22;6;True
2018-06-03;3;6;2;2018;22;7;True
2018-06-04;4;6;2;2018;23;1;False
2018-06-05;5;6;2;2018;23;2;False
2018-06-06;6;6;2;2018;23;3;False
2018-06-07;7;6;2;2018;23;4;False
2018-06-08;8;6;2;2018;23;5;False
2018-06-09;9;6;2;2018;23;6;True
2018-06-10;10;6;2;2018;23;7;True
2018-06-11;11;6;2;2018;24;1;False
2018-06-12;12;6;2;2018;24;2;False
2018-06-13;13;6;2;2018;24;3;False
2018-06-14;14;6;2;2018;24;4;False
2018-06-15;15;6;2;2018;24;5;False
2018-06-16;16;6;2;2018;24;6;True
2018-06-17;17;6;2;2018;24;7;True
2018-06-18;18;6;2;2018;25;1;False
2018-06-19;19;6;2;2018;25;2;False
2018-06-20;20;6;2;2018;25;3;False
2018-06-21;21;6;2;2018;25;4;False
2018-06-22;22;6;2;2018;25;5;False
2018-06-23;23;6;2;2018;25;6;True
2018-06-24;24;6;2;2018;25;7;True
2018-06-25;25;6;2;2018;26;1;False
2018-06-26;26;6;2;2018;26;2;False
2018-06-27;27;6;2;2018;26;3;False
2018-06-28;28;6;2;2018;26;4;False
2018-06-29;29;6;2;2018;26;5;False
2018-06-30;30;6;2;2018;26;6;True
2018-07-01;1;7;3;2018;26;7;True
2018-07-02;2;7;3;2018;27;1;False
2018-07-03;3;7;3;2018;27;2;False
2018-07-04;4;7;3;2018;27;3;False
2018-07-05;5;7;3;2018;27;4;False
2018-07-06;6;7;3;2018;27;5;False
2018-07-07;7;7;3;2018;27;6;True
2018-07-08;8;7;3;2018;27;7;True
2018-07-09;9;7;3;2018;28;1;False
2018-07-10;10;7;3;2018;28;2;False
2018-07-11;11;7;3;2018;28;3;False
2018-07-12;12;7;3;2018;28;4;False
2018-07-13;13;7;3;2018;28;5;False
2018-07-14;14;7;3;2018;28;6;True
2018-07-15;15;7;3;2018;28;7;True
2018-07-16;16;7;3;2018;29;1;False
2018-07-17;17;7;3;2018;29;2;False
